Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,AT Rayudu,Chennai Super Kings,206,0.761,0.226,"$343,750","$1,369,045"
2,CH Gayle,Kings XI Punjab,200,0.741,0.240,"$312,500","$1,341,091"
3,AB de Villiers,Royal Challengers Bangalore,151,0.559,0.176,"$1,718,750","$1,086,706"
4,SS Iyer,Delhi Daredevils,136,0.503,0.149,"$1,093,750","$1,008,434"
5,MS Dhoni,Chennai Super Kings,132,0.487,0.131,"$2,343,750","$986,071"
6,N Rana,Kolkata Knight Riders,125,0.463,0.178,"$531,250","$952,526"
7,V Kohli,Royal Challengers Bangalore,120,0.445,0.177,"$2,656,250","$927,367"
8,SV Samson,Rajasthan Royals,110,0.408,0.155,"$1,250,000","$875,651"
9,KS Williamson,Sunrisers Hyderabad,104,0.386,0.164,"$468,750","$844,901"
10,SA Yadav,Mumbai Indians,101,0.374,0.145,"$500,000","$828,129"
11,M Markande,Mumbai Indians,101,0.373,0.197,"$31,250","$826,731"
12,AS Rajpoot,Kings XI Punjab,98,0.361,0.123,"$468,750","$809,958"
13,Mandeep Singh,Royal Challengers Bangalore,94,0.347,0.109,"$218,750","$790,390"
14,KL Rahul,Kings XI Punjab,88,0.324,0.149,"$1,718,750","$758,243"
15,KD Karthik,Kolkata Knight Riders,83,0.308,0.124,"$1,156,250","$735,880"
16,KH Pandya,Mumbai Indians,63,0.231,0.131,"$1,375,000","$628,255"
17,Basil Thampi,Sunrisers Hyderabad,62,0.230,0.119,"$148,440","$626,858"
18,B Kumar,Sunrisers Hyderabad,58,0.213,0.109,"$1,328,130","$603,097"
19,Sandeep Sharma,Sunrisers Hyderabad,53,0.196,0.063,"$468,750","$579,335"
20,Shakib Al Hasan,Sunrisers Hyderabad,53,0.196,0.153,"$312,500","$579,335"
21,DJ Bravo,Chennai Super Kings,52,0.192,0.145,"$1,000,000","$573,744"
22,HH Pandya,Mumbai Indians,52,0.192,0.137,"$1,718,750","$573,744"
23,SR Watson,Chennai Super Kings,51,0.189,0.179,"$625,000","$569,551"
24,RR Pant,Delhi Daredevils,47,0.173,0.110,"$2,343,750","$547,188"
25,JJ Roy,Delhi Daredevils,45,0.168,0.072,"$234,380","$540,199"
26,JJ Bumrah,Mumbai Indians,42,0.156,0.143,"$1,093,750","$523,427"
27,YK Pathan,Sunrisers Hyderabad,42,0.155,0.083,"$296,880","$522,029"
28,Avesh Khan,Delhi Daredevils,39,0.144,0.053,"$109,380","$506,654"
29,JC Archer,Rajasthan Royals,38,0.139,0.063,"$1,125,000","$499,666"
30,TA Boult,Delhi Daredevils,37,0.135,0.129,"$343,750","$494,075"
31,Q de Kock,Royal Challengers Bangalore,36,0.134,0.084,"$437,500","$492,677"
32,KV Sharma,None,34,0.127,0.039,"$478,000","$482,893"
33,PP Shaw,Delhi Daredevils,32,0.120,0.042,"$187,500","$473,109"
34,DT Christian,Delhi Daredevils,32,0.119,0.059,"$234,380","$471,711"
35,KK Nair,Kings XI Punjab,31,0.116,0.089,"$875,000","$467,518"
36,SN Thakur,Chennai Super Kings,30,0.111,0.091,"$406,250","$460,529"
37,SK Raina,Chennai Super Kings,26,0.096,0.070,"$1,718,750","$439,564"
38,DA Miller,Kings XI Punjab,24,0.090,0.030,"$468,750","$431,177"
39,KM Jadhav,Chennai Super Kings,24,0.089,0.040,"$1,218,750","$429,780"
40,YS Chahal,Royal Challengers Bangalore,21,0.079,0.106,"$937,500","$415,803"
41,DJM Short,Rajasthan Royals,20,0.075,0.062,"$625,000","$410,212"
42,S Dhawan,Sunrisers Hyderabad,16,0.060,0.074,"$812,500","$389,246"
43,S Kaul,Sunrisers Hyderabad,14,0.052,0.141,"$593,750","$378,064"
44,MK Pandey,Sunrisers Hyderabad,13,0.049,0.074,"$1,718,750","$373,871"
45,LE Plunkett,None,12,0.043,0.045,,"$365,485"
46,C de Grandhomme,Royal Challengers Bangalore,11,0.041,0.019,"$343,750","$362,689"
47,RG Sharma,Mumbai Indians,11,0.041,0.060,"$2,343,750","$362,689"
48,GJ Maxwell,Delhi Daredevils,10,0.039,0.088,"$1,406,250","$359,894"
49,Shubman Gill,Kolkata Knight Riders,8,0.031,0.036,"$281,250","$348,712"
50,RV Uthappa,Kolkata Knight Riders,8,0.031,0.073,"$1,000,000","$348,712"
51,B Stanlake,Sunrisers Hyderabad,8,0.029,0.076,"$78,130","$345,917"
52,CA Lynn,Kolkata Knight Riders,6,0.021,0.096,"$1,500,000","$334,735"
53,AM Rahane,Rajasthan Royals,5,0.020,0.072,"$625,000","$333,337"
54,Rashid Khan,Sunrisers Hyderabad,3,0.012,0.139,"$1,406,250","$322,156"
55,DL Chahar,Chennai Super Kings,1,0.003,0.081,"$125,000","$309,576"
56,MP Stoinis,Kings XI Punjab,0,0.001,0.014,"$968,750","$306,781"
57,TK Curran,Kolkata Knight Riders,-2,-0.006,0.054,,"$296,997"
58,Ishan Kishan,Mumbai Indians,-4,-0.013,0.064,"$968,750","$287,213"
59,Imran Tahir,Chennai Super Kings,-4,-0.016,0.059,"$156,250","$283,020"
60,R Vinay Kumar,Kolkata Knight Riders,-5,-0.020,0.029,"$156,250","$277,429"
61,Kuldeep Yadav,Kolkata Knight Riders,-5,-0.020,0.098,"$906,250","$277,429"
62,SP Narine,Kolkata Knight Riders,-6,-0.024,0.153,"$1,953,130","$271,838"
63,Mujeeb Ur Rahman,Kings XI Punjab,-6,-0.024,0.120,,"$271,838"
64,S Gopal,Rajasthan Royals,-7,-0.025,0.097,"$31,250","$270,440"
